iter	Logloss
0	0.4432914186
1	0.367893187
2	0.2825879499
3	0.2313933301
4	0.199825326
5	0.1728384388
6	0.1547794591
7	0.1359405856
8	0.1222918461
9	0.1097380457
10	0.09685211395
11	0.09342153393
12	0.084905692
13	0.08142924665
14	0.07623125012
15	0.07229223892
16	0.06743157977
17	0.06225685753
18	0.05666118949
19	0.05278095381
20	0.04991972624
21	0.04838142644
22	0.04615661635
23	0.04426948882
24	0.04341659973
25	0.04025572094
26	0.03800914537
27	0.03610658824
28	0.0330804106
29	0.03035126871
30	0.02971459503
31	0.02816138517
32	0.02662511904
33	0.02581506345
34	0.02442077736
35	0.02336347993
36	0.02254974308
37	0.02073479766
38	0.0193373979
39	0.01847649332
40	0.01770978187
41	0.01702779976
42	0.0166017084
43	0.01551968126
44	0.01484686136
45	0.01433988916
46	0.01372285921
47	0.0131724379
48	0.01282644628
49	0.01239313118
50	0.012109454
51	0.01175797519
52	0.01139818554
53	0.01096111091
54	0.01073908895
55	0.01014182283
56	0.00967504907
57	0.009303960338
58	0.00885683565
59	0.008624373087
60	0.008231928099
61	0.007944979774
62	0.007647622877
63	0.007460553255
64	0.007324179607
65	0.007208938919
66	0.006966284407
67	0.006732908203
68	0.006615129425
69	0.006512389254
70	0.006347181192
71	0.006155550035
72	0.006002530678
73	0.005815169704
74	0.005644924605
75	0.005513306874
76	0.005245927554
77	0.005152022216
78	0.005020798142
79	0.004830593493
80	0.004830344399
81	0.0048301558
82	0.004830030363
83	0.004829997447
84	0.004829447216
85	0.004829432537
86	0.004829436985
87	0.004829436985
88	0.004829436985
89	0.004829436985
90	0.004829436985
91	0.004829436985
92	0.004829436985
93	0.004829436985
94	0.004829436985
95	0.004829436985
96	0.004829436985
97	0.004829436985
98	0.004829436985
99	0.004829436985
