iter	Passed	Remaining
0	141	13962
1	142	6995
2	144	4665
3	147	3529
4	148	2826
5	150	2354
6	152	2021
7	153	1770
8	156	1578
9	158	1422
10	159	1292
11	162	1188
12	163	1095
13	166	1019
14	167	950
15	169	888
16	170	833
17	172	784
18	173	740
19	175	700
20	177	667
21	178	634
22	180	604
23	181	576
24	183	550
25	184	525
26	186	505
27	188	484
28	190	465
29	192	448
30	193	431
31	195	415
32	197	401
33	199	387
34	201	373
35	202	360
36	204	348
37	207	338
38	209	328
39	211	317
40	214	308
41	216	298
42	218	290
43	220	281
44	224	273
45	226	265
46	228	258
47	231	250
48	232	242
49	234	234
50	236	227
51	239	220
52	241	213
53	243	207
54	245	200
55	247	194
56	249	188
57	251	182
58	253	176
59	256	171
60	258	165
61	260	159
62	262	154
63	263	148
64	265	142
65	267	137
66	271	133
67	273	128
68	274	123
69	276	118
70	278	113
71	280	109
72	281	104
73	283	99
74	286	95
75	288	91
76	291	86
77	293	82
78	296	78
79	298	74
80	299	70
81	302	66
82	304	62
83	306	58
84	308	54
85	309	50
86	311	46
87	313	42
88	314	38
89	317	35
90	319	31
91	321	27
92	322	24
93	324	20
94	325	17
95	327	13
96	329	10
97	332	6
98	334	3
99	335	0
