iter	Passed	Remaining
0	142	14094
1	144	7086
2	146	4741
3	149	3586
4	151	2878
5	153	2408
6	155	2069
7	157	1816
8	160	1619
9	162	1460
10	166	1343
11	168	1235
12	170	1141
13	172	1059
14	175	992
15	177	932
16	181	884
17	183	835
18	185	791
19	189	756
20	192	723
21	194	690
22	199	666
23	201	638
24	203	611
25	205	585
26	208	562
27	211	544
28	214	524
29	216	505
30	218	487
31	220	469
32	223	454
33	226	438
34	228	423
35	230	409
36	232	395
37	234	382
38	236	369
39	238	358
40	240	346
41	243	335
42	245	325
43	247	314
44	249	304
45	251	295
46	253	285
47	255	276
48	257	268
49	259	259
50	261	251
51	264	243
52	266	236
53	268	229
54	270	221
55	273	214
56	278	210
57	281	203
58	283	197
59	286	190
60	288	184
61	291	178
62	293	172
63	296	166
64	299	161
65	302	155
66	304	150
67	306	144
68	308	138
69	310	133
70	312	127
71	314	122
72	317	117
73	319	112
74	321	107
75	323	102
76	326	97
77	328	92
78	330	87
79	332	83
80	335	78
81	337	74
82	339	69
83	342	65
84	344	60
85	347	56
86	349	52
87	351	47
88	354	43
89	356	39
90	359	35
91	361	31
92	363	27
93	365	23
94	367	19
95	369	15
96	371	11
97	373	7
98	376	3
99	378	0
