iter	Passed	Remaining
0	10	1010
1	19	967
2	30	985
3	40	966
4	49	941
5	59	936
6	70	931
7	81	936
8	91	920
9	100	908
10	108	876
11	118	871
12	130	870
13	138	851
14	148	841
15	156	823
16	163	800
17	171	783
18	181	774
19	187	748
20	196	738
21	205	729
22	215	720
23	223	708
24	231	695
25	240	685
26	250	676
27	259	667
28	268	657
29	283	660
30	291	649
31	299	636
32	308	625
33	316	615
34	325	605
35	332	590
36	341	580
37	349	570
38	358	560
39	367	551
40	378	544
41	388	535
42	400	530
43	410	522
44	421	514
45	431	506
46	441	498
47	452	489
48	458	476
49	464	464
50	474	456
51	483	445
52	492	436
53	501	427
54	513	420
55	524	411
56	534	402
57	543	393
58	555	385
59	565	376
60	574	367
61	585	358
62	597	350
63	607	341
64	616	332
65	626	322
66	634	312
67	643	302
68	655	294
69	663	284
70	670	274
71	676	262
72	683	252
73	688	241
74	693	231
75	705	222
76	714	213
77	723	204
78	730	194
79	740	185
80	751	176
81	760	166
82	770	157
83	779	148
84	789	139
85	800	130
86	808	120
87	818	111
88	824	101
89	832	92
90	843	83
91	852	74
92	860	64
93	870	55
94	878	46
95	887	36
96	895	27
97	907	18
98	917	9
99	927	0
